ID  MINE      GT       VEL   DIFF   DUR    GROUP_ID
440  Fixation  Fixation  2.6   -1.0  750.0  10
441  Fixation  Fixation  10.4   7.8  750.0  10
442  Fixation  Fixation  5.9   -4.5  750.0  10
443  Fixation  Fixation  1.8   -4.0  750.0  10
444  Fixation  Fixation  2.6   0.7  750.0  10
445  Fixation  Fixation  1.8   -0.7  750.0  10
446  Fixation  Fixation  2.7   0.9  750.0  10
447  Fixation  Fixation  4.7   2.0  750.0  10
448  Fixation  Fixation  6.0   1.4  750.0  10
449  Fixation  Fixation  2.2   -3.9  750.0  10
450  Fixation  Fixation  5.4   3.2  750.0  10
451  Fixation  Fixation  1.2   -4.2  750.0  10
452  Fixation  Fixation  5.4   4.2  750.0  10
453  Fixation  Fixation  3.6   -1.8  750.0  10
454  Fixation  Fixation  2.0   -1.6  750.0  10
455  Fixation  Fixation  2.4   0.4  750.0  10
456  Fixation  Fixation  0.0   -2.4  750.0  10
457  Fixation  Fixation  5.9   5.9  750.0  10
458  Fixation  Fixation  25.1   19.2  750.0  10
459  Fixation  Fixation  1.7   -23.3  750.0  10
460  Fixation  Fixation  5.8   4.1  750.0  10
461  Fixation  Fixation  0.5   -5.3  750.0  10
462  Fixation  Fixation  0.0   -0.4  750.0  10
463  Fixation  Fixation  7.1   7.1  750.0  10
464  Fixation  Fixation  2.0   -5.1  750.0  10
465  Fixation  Fixation  2.6   0.6  750.0  10
466  Fixation  Fixation  0.1   -2.5  750.0  10
467  Fixation  Fixation  3.3   3.2  750.0  10
468  Fixation  Fixation  2.4   -0.9  750.0  10
469  Fixation  Fixation  3.0   0.7  750.0  10
470  Saccade  Saccade  260.1   257.1  50.0  10
471  Saccade  Saccade  216.6   -43.5  50.0  10
472  Saccade  Saccade  133.8   -82.9  50.0  10
473  Fixation  Fixation  5.1   -128.7  183.0  11
474  Fixation  Fixation  8.2   3.1  183.0  11
475  Fixation  Fixation  7.7   -0.5  183.0  11
476  Fixation  Fixation  6.3   -1.3  183.0  11
477  Fixation  Fixation  6.3   0.0  183.0  11
478  Fixation  Fixation  5.0   -1.4  183.0  11
479  Fixation  Fixation  2.1   -2.8  183.0  11
480  Fixation  Fixation  5.2   3.1  183.0  11
481  Fixation  Fixation  5.2   -0.0  183.0  11
482  Fixation  Fixation  6.4   1.2  183.0  11
483  Fixation  Fixation  11.2   4.8  183.0  11
484  Saccade  Saccade  53.5   42.3  17.0  11
485  Fixation  Fixation  6.8   -46.8  450.0  12
486  Fixation  Fixation  2.3   -4.4  450.0  12
487  Fixation  Fixation  3.3   1.0  450.0  12
488  Fixation  Fixation  12.8   9.6  450.0  12
489  Fixation  Fixation  0.0   -12.8  450.0  12
490  Fixation  Fixation  1.5   1.5  450.0  12
491  Fixation  Fixation  5.8   4.3  450.0  12
492  Fixation  Fixation  5.1   -0.8  450.0  12
493  Fixation  Fixation  7.6   2.5  450.0  12
494  Fixation  Fixation  4.4   -3.2  450.0  12
495  Fixation  Fixation  2.6   -1.8  450.0  12
496  Fixation  Fixation  8.9   6.3  450.0  12
497  Fixation  Fixation  3.4   -5.4  450.0  12
498  Fixation  Fixation  0.1   -3.3  450.0  12
499  Fixation  Fixation  3.5   3.4  450.0  12
500  Fixation  Fixation  26.9   23.4  450.0  12
501  Fixation  Fixation  1.0   -25.8  450.0  12
502  Fixation  Fixation  4.6   3.6  450.0  12
503  Fixation  Fixation  5.5   0.9  450.0  12
504  Fixation  Fixation  14.5   9.0  450.0  12
505  Fixation  Fixation  5.3   -9.2  450.0  12
506  Fixation  Fixation  3.3   -2.0  450.0  12
507  Fixation  Fixation  3.3   -0.0  450.0  12
508  Fixation  Fixation  10.7   7.4  450.0  12
509  Fixation  Fixation  3.8   -6.8  450.0  12
510  Fixation  Fixation  0.6   -3.2  450.0  12
511  Fixation  Fixation  0.1   -0.5  450.0  12
512  Saccade  Saccade  53.9   53.8  83.0  12
513  Saccade  Saccade  303.4   249.5  83.0  12
